"Department","Cost","Travel Class","Ticket Single or Return","Airline","Travel Date","Origin ICAO","Origin Name","Origin Municipality","Origin Region","Origin Country","Origin Latitude","Origin Longitude","Destination ICAO","Destination Name","Destination Region","Destination Country","Destination Latitude","Destination Longitude","Distance"
"Orange Department",81.52,"Economy","Return","Flybe",2011-02-10,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,595
"Yellow Department",343.98,"Economy","Return","Flybe",2011-02-11,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGHI","Southampton Airport","England","United Kingdom",50.9502983093262,-1.35679996013641,584
"Yellow Department",25.98,"Economy","Return","Flybe",2011-03-02,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPB","Sumburgh Airport","Scotland","United Kingdom",59.8788986206055,-1.29556000232697,993
"Yellow Department",12.99,"Economy","Return","Flybe",2011-03-09,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EPKK","Kraków John Paul II International Airport","Lesser Poland","Poland",50.077702,19.7848,1493
"Yellow Department",32.97,"Economy","Return","Flybe",2011-03-10,"EGPE","Inverness Airport","Inverness","Scotland","United Kingdom",57.5424995422363,-4.0475001335144,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,753
"Yellow Department",61.48,"Economy","Single","Flybe",2011-03-19,"EGPE","Inverness Airport","Inverness","Scotland","United Kingdom",57.5424995422363,-4.0475001335144,"EGBB","Birmingham International Airport","England","United Kingdom",52.4538993835,-1.74802994728,584
"Yellow Department",159.82,"Economy","Return","Flybe",2011-03-27,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGAC","George Best Belfast City Airport","Northern Ireland","United Kingdom",54.6180992126465,-5.87249994277954,508
"Yellow Department",38.97,"Economy","Return","Flybe",2011-03-29,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGPB","Sumburgh Airport","Scotland","United Kingdom",59.8788986206055,-1.29556000232697,993
"Orange Department",217.14,"Economy","Return","Easyjet",2011-03-29,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"GMMX","Menara Airport","Marrakech Province","Morocco",31.6068992615,-8.03629970551,2266
"Yellow Department",60.00,"Economy","Return","British Airways",2011-04-03,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,595
"Yellow Department",158.96,"Economy","Return","Flybe",2011-04-03,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGNT","Newcastle Airport","England","United Kingdom",55.0374984741211,-1.69166994094849,455
"Orange Department",272.82,"Business","Return","British Airways",2011-04-07,"EGKK","London Gatwick Airport","London","England","United Kingdom",51.148102,-0.190278,"EGPH","Edinburgh Airport","Scotland","United Kingdom",55.9500007629395,-3.37249994277954,574
"Orange Department",7969.20,"Business","Return","British Airways",2011-04-07,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"WSSS","Singapore Changi Airport","South East","Singapore",1.35019,103.994003,10883
"Orange Department",7969.20,"Business","Return","British Airways",2011-04-07,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"WSSS","Singapore Changi Airport","South East","Singapore",1.35019,103.994003,10883
"Yellow Department",61.98,"Economy","Return","Flybe",2011-04-08,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EHAM","Amsterdam Airport Schiphol","Noord-Holland","Netherlands",52.308601,4.76389,448
"Yellow Department",151.29,"Economy","Return","Flybe",2011-04-08,"EGPF","Glasgow International Airport","Glasgow","Scotland","United Kingdom",55.8718986511,-4.43306016922,"EGPR","Barra Airport","Scotland","United Kingdom",57.0228,-7.44306,225
"Orange Department",387.60,"Economy","Return","Alitalia",2011-04-08,"EGLL","London Heathrow Airport","London","England","United Kingdom",51.4706,-0.461941,"LIML","Milano Linate Airport","Lombardy","Italy",45.445099,9.27674,981
"Orange Department",206.03,"Economy","Return","Flybe",2011-04-09,"EGHI","Southampton Airport","Southampton","England","United Kingdom",50.9502983093262,-1.35679996013641,"EGCC","Manchester Airport","England","United Kingdom",53.3536987304688,-2.27495002746582,274
"Yellow Department",305.72,"Economy","Return","Flybe",2011-04-09,"EGPD","Aberdeen Dyce Airport","Aberdeen","Scotland","United Kingdom",57.2019004821777,-2.19777989387512,"EGKK","London Gatwick Airport","England","United Kingdom",51.148102,-0.190278,686
